login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
andersx,andersx/ambermini,2016-11-20T08:56:37Z,0,0,C,True,True,other
andersx,andersx/amine-calc,2016-12-08T12:40:38Z,0,0,Python,True,True,mit
andersx,andersx/andersx,2020-07-14T05:48:57Z,0,0,,True,True,cc0-1.0
andersx,andersx/andersx.github.io,2015-08-09T20:00:46Z,0,0,HTML,True,True,
andersx,andersx/appc-sample-ti500,2017-02-11T13:06:45Z,0,0,JavaScript,True,True,other
andersx,andersx/auto-ts,2016-11-21T13:52:07Z,9,9,Python,True,True,mit
andersx,andersx/basilea-beamer,2018-04-11T09:22:09Z,0,0,TeX,True,True,mit
andersx,andersx/beamer-gif,2018-04-12T11:17:17Z,2,2,TeX,True,True,unlicense
andersx,andersx/boss-representation,2018-02-27T10:53:30Z,2,2,Fortran,True,True,mit
andersx,andersx/camshift-phaistos,2014-06-02T08:03:05Z,0,0,C++,True,True,
andersx,andersx/cclib,2015-09-12T21:01:59Z,0,0,Python,True,True,lgpl-2.1
andersx,andersx/charmm-dftb-py,2014-11-04T16:45:41Z,1,1,Python,True,True,unlicense
andersx,andersx/charmm36,2014-05-18T14:11:39Z,1,1,C++,True,True,gpl-3.0
andersx,andersx/charmm36-ml,2016-11-18T09:37:18Z,0,0,,True,True,gpl-3.0
andersx,andersx/check-sdf,2018-01-08T16:02:51Z,6,6,Python,True,True,mit
andersx,andersx/cholesky-py-mkl-parallel,2016-10-12T13:25:16Z,0,0,Python,True,True,mit
andersx,andersx/CodeSnippets,2014-04-27T22:58:04Z,0,0,Python,True,True,
andersx,andersx/cpe-gradient-latex,2015-04-29T16:57:55Z,1,1,TeX,True,True,cc0-1.0
andersx,andersx/cpe-source,2014-09-22T16:53:00Z,1,1,FORTRAN,True,True,
andersx,andersx/cqmlwrapper,2018-02-22T13:55:32Z,0,0,Fortran,True,True,mit
andersx,andersx/cs-proteins,2014-03-03T11:52:00Z,0,0,Python,True,True,unlicense
andersx,andersx/dftb3-delta-machine,2016-10-11T15:47:19Z,3,3,Python,True,True,mit
andersx,andersx/dftbfit,2015-08-29T17:58:45Z,2,2,Python,True,True,bsd-2-clause
andersx,andersx/dftd3-wrapper,2014-09-10T01:20:29Z,1,1,FORTRAN,True,True,gpl-2.0
andersx,andersx/errorlearn,2017-05-24T10:26:53Z,4,4,Python,True,True,mit
andersx,andersx/ezpickle,2016-10-07T12:48:56Z,0,0,Python,True,True,mit
andersx,andersx/fep-ml,2017-05-08T11:52:50Z,1,1,Python,True,True,mit
andersx,andersx/fitmndod,2016-11-11T13:55:28Z,0,0,Python,True,True,mit
andersx,andersx/flut,2016-12-15T09:22:05Z,0,0,FORTRAN,True,True,mit
andersx,andersx/fml,2016-10-27T17:47:35Z,4,4,Fortran,True,True,mit
